Site, Line, Product, Date Time, Adaptive Length, Caliper Length, Color; L, Diameter; Avg, External Measurement Weight 0, Height; Avg, Max Edge Fat Width, Single Caliper Width, Tail Length, Total Fat Percent Area, Total Fat Top Area,% Compliance Weight,% Compliance Thickness
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:08:11 AM, , , , ,15.66,1.28958,0.775403, ,1.55815, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:25:24 AM, , , , ,15,1.12222,0.556572, ,1.49273, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:25:31 AM, , , , ,15.46,1.02254,1.09443, ,1.56846, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:25:38 AM, , , , ,15.06,1.08192,0.48806, ,1.5966, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:25:45 AM, , , , ,17.9,1.13155,1.15051, ,1.7354, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:25:51 AM, , , , ,17,1.14812,0.524801, ,1.24201, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:25:58 AM, , , , ,16.22,1.15421,0.830062, ,1.80548, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:26:05 AM, , , , ,16.32,1.04516,0.751384, ,1.52226, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:26:13 AM, , , , ,15.56,1.12315,0.572462, ,2.00652, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:26:23 AM, , , , ,16.58,1.06106,1.08075, ,1.33945, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:26:30 AM, , , , ,16.58,1.12025,1.14195, ,1.90677, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:26:39 AM, , , , ,15.54,1.1168,0.556331, ,1.88694, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:26:46 AM, , , , ,16.58,1.11423,0.564055, ,1.64993, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:26:55 AM, , , , ,15.06,1.06382,0.847854, ,1.88448, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:27:05 AM, , , , ,16.28,1.21947,0.502925, ,2.31804, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:27:31 AM, , , , ,16,1.13868,2.64159, ,1.66, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:27:42 AM, , , , ,16.14,1.14087,0.582489, ,2.12443, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:06:30 AM, , , , ,17.02,1.16655,1.05011, ,1.59927, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:06:39 AM, , , , ,15.84,1.14443,1.05106, ,1.90956, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:06:50 AM, , , , ,16.14,1.16156,0.972493, ,1.94654, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:06:58 AM, , , , ,15.84,1.18959,0.495744, ,1.05466, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:08:22 AM, , , , ,15.22,1.11483,0.0564795, ,1.58174, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:08:34 AM, , , , ,15,0.992271,0.928197, ,1.92147, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:08:42 AM, , , , ,15.62,0.966914,0.567924, ,2.30917, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:08:51 AM, , , , ,16.12,0.995567,0.714934, ,1.43324, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:08:59 AM, , , , ,16.24,1.01859,0.83314, ,1.22812, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:09:07 AM, , , , ,16.34,1.04862,0.806186, ,1.44729, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:09:15 AM, , , , ,16.38,1.01093,0.593745, ,2.26766, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:09:23 AM, , , , ,15.68,1.11136,0.817814, ,1.38033, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:09:44 AM, , , , ,15.54,1.18787,0.63459, ,1.5173, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:09:54 AM, , , , ,16.58,0.993793,0.823802, ,0.9771, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:10:01 AM, , , , ,16.54,1.0636,0.718002, ,1.56175, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:10:10 AM, , , , ,15.09,0.954747,1.09252, ,2.32471, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:10:19 AM, , , , ,15.28,0.991578,0.794838, ,2.12587, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:10:54 AM, , , , ,15.92,1.05711,0.636698, ,2.29474, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:11:04 AM, , , , ,16.46,0.999757,0.93056, ,1.92744, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:11:18 AM, , , , ,15.96,1.12057,1.23152, , , , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:11:25 AM, , , , ,15,1.01487,0.870888, ,1.77901, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:12:11 AM, , , , ,15.96,1.08016,0.456593, ,2.13735, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:12:28 AM, , , , ,16.3,1.10448,0.726016, ,2.31392, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:12:42 AM, , , , ,16.5,1.16249,0.602951, ,3.48007, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:12:51 AM, , , , ,16.34,1.16129,0.52731, ,3.2795, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:13:23 AM, , , , ,16.1,1.09131,0.866976, ,1.57187, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:13:32 AM, , , , ,15,1.03215,0.642967, ,1.81541, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:13:42 AM, , , , ,16.1,1.1388,0.867661, ,1.23843, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:13:52 AM, , , , ,15.68,1.03174,0.571223, ,1.09618, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:14:30 AM, , , , ,16.32,1.26718,0.494818, ,1.10384, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:15:24 AM, , , , ,16.63,1.29713,0.400336, ,1.44361, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:15:31 AM, , , , ,15.02,1.16863,0.88481, ,1.19775, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:15:39 AM, , , , ,16.04,1.06725,0.991537, ,1.36274, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:15:47 AM, , , , ,16,1.12876,0.94728, ,0.85108, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:15:54 AM, , , , ,16.52,1.14609,0.96141, ,0.923354, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:16:04 AM, , , , ,16.66,1.07731,0.73056, ,1.50166, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:16:15 AM, , , , ,16.04,1.18484,0.861814, ,1.55922, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:16:37 AM, , , , ,16.42,1.12225,0.430301, ,0.963147, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:16:44 AM, , , , ,16.58,1.12579,0.852758, ,1.21363, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:16:53 AM, , , , ,16.44,1.12247,0.913496, ,1.67452, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:17:01 AM, , , , ,15.82,1.07351,0.559632, ,1.92987, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:17:12 AM, , , , ,15.86,1.21415,0.189365, ,1.99059, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:17:22 AM, , , , ,15.2,1.09756,0.718691, , , , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:17:36 AM, , , , ,15.5,1.0919,1.80808, ,1.36001, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:19:06 AM, , , , ,16.88,1.21007,0.651656, ,1.3965, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:19:14 AM, , , , ,16.46,1.09576,0.671572, ,1.54523, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:19:23 AM, , , , ,16.06,1.12335,0.806455, ,4.52602, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:19:31 AM, , , , ,15.03,1.06438,0.53185, ,2.08169, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:19:41 AM, , , , ,15.06,1.1193,0.687364, ,2.35116, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 10:19:50 AM, , , , ,16.24,1.16828,0.53887, ,2.15627, , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:10:35 AM,4.19575, , ,3.03548,6.98,1.59455,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:10:43 AM,2.6083, , ,2.74827,6.74,2.24072,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:10:49 AM,3.90013, , ,3.46264,6.56,1.25552,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:10:56 AM,3.7688, , ,3.32563,7.12,1.3808,0.592408, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:11:04 AM,3.12817, , ,2.86681,7.4,1.75819,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:11:11 AM,3.82449, , ,3.20476,6.64,1.33961,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:11:18 AM,3.69257, , ,2.84419,7.36,1.93641,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:11:26 AM,3.88479, , ,3.63191,7.06,1.11103,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:11:34 AM,3.04065, , ,2.63224,7.16,2.47364,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:11:44 AM,3.04391, , ,2.9713,6.5,1.60536,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:11:51 AM,2.8242, , ,2.68455,6.6,1.90275,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:00 AM,3.24373, , ,3.17762,7.2,1.75122,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:07 AM,3.93642, , ,3.23327,6.74,1.4771,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:21 AM,4.21567, , ,3.54081,6.48,1.20753,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:30 AM,4.19111, , ,3.37643,7.02,1.31056,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:37 AM,4.26957, , ,3.47777,7.06,1.25294,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:43 AM,3.59647, , ,3.29327,7,1.40057,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:50 AM,3.65016, , ,3.27552,6.5,1.22034,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:12:58 AM,3.21498, , ,2.80691,6.99,1.93299,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:13:11 AM,3.22334, , ,3.07791,6.5,1.6332,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:13:24 AM,4.31767, , ,3.5668,7.08,1.20211,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:13:31 AM,4.34636, , ,3.52281,7.04,1.18169,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:13:38 AM,4.21059, , ,3.34853,6.7,1.46057,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:13:49 AM,3.54649, , ,2.80421,6.76,2.14201,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:13:58 AM,4.11361, , ,3.27896,6.88,1.32184,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:14:06 AM,4.06726, , ,3.22303,6.82,1.54942,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:14:22 AM,4.16661, , ,3.69377,7.1,1.13953,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:14:32 AM,3.6343, , ,2.35578,7.3,2.18272,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:14:41 AM,3.57983, , ,3.23604,6.9,1.589,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:14:48 AM,3.79913, , ,3.01304,6.988,1.87397,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:15:02 AM,0, , ,2.43783,7.4,2.79522,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:15:15 AM,4.09477, , ,3.40388,6.96,1.3909,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:15:27 AM,4.47913, , ,3.3393,7.5,1.45866,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:15:37 AM,3.67676, , ,3.59517,7.22,1.2545,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:15:47 AM,4.54486, , ,3.56658,6.96,1.18797,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:00 AM,3.89603, , ,3.47596,7,1.24551,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:07 AM,3.04168, , ,2.97396,6.98,1.60754,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:16 AM,3.30749, , ,3.078,7.1,1.8863,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:23 AM,3.2652, , ,3.2065,6.5,1.5166,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:29 AM,3.78472, , ,3.29557,6.8,1.38735,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:39 AM,3.33489, , ,3.09106,7.23,1.79337,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:45 AM,3.84787, , ,3.33335,7.3,1.44851,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:16:53 AM,3.69663, , ,2.96757,7,1.83541,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:17:03 AM,4.57723, , ,2.44008,7.48,2.5384,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:17:14 AM,4.27083, , ,3.58531,6.72,1.18907,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:17:23 AM,5.10064, , ,3.78536,7.5,1.06766,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:17:33 AM,3.69825, , ,3.37829,6.8,1.32963,0.372406, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:17:40 AM,3.95496, , ,3.27884,6.66,1.30963,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:17:57 AM,3.62351, , ,3.05621,7,1.89631,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:18:06 AM,3.1237, , ,2.86936,6.76,1.98987,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:18:13 AM,4.02667, , ,3.0326,6.5,1.37536,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:19:13 AM,4.66647, , ,3.24992,6.5,1.23341,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:19:20 AM,3.81453, , ,3.26145,7.28,1.51894,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:19:27 AM,4.1765, , ,3.42379,6.98,1.30672,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:19:35 AM,4.38687, , ,2.53996,6.94,1.87306,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:19:42 AM,5.03916, , ,3.5943,6.64,1.08987,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:19:50 AM,3.23583, , ,3.18675,7.3,1.74374,0, , , , , ,
Generic Butcher Company,Generic, 7 oz Tenderloin, 6/3/2024 11:19:57 AM,3.62733, , ,3.30893,7.06,1.54567,0, , , , , ,
